merchant_id,merchant_suburb,merchant_state,merchant_long_lat
81c48296-73be-44a7-befa-d053f48ce7cd,Ashmore,QLD,153.38 -27.99
830a451c-316e-4a6a-bf25-e37caedca49e,Sydney,NSW,151.21 -33.87
835c231d-8cdf-4e96-859d-e9d571760cf0,Sydney,NSW,151.21 -33.87
48514682-c78a-4a88-b0da-2d6302e64673,Buderim,QLD,153.05 -26.68
b4e02c10-0852-4273-b8fd-7b3395e32eb0,Mermaid Beach,QLD,153.44 -28.06
3aa18033-a0a9-4190-a117-b7caaf4d07e3,Kalkallo,VIC,144.95 -37.53
ee58145d-26e8-4b01-9cd9-62378014f21d,Melbourne,VIC,144.96 -37.81
cfbf535e-caa8-499f-9d41-bbdc2b836d85,Yokine,WA,115.85 -31.9
33952b07-859c-4c0a-8b1d-813a5f6b444c,Cockburn Central,WA,115.86 -32.13
d920de7f-959c-4d9a-aee5-930689a2f8cd,Mount Ommaney,QLD,152.94 -27.55
b5565fff-0333-4c74-a61a-56a074d0ec0f,Brunswick,VIC,144.96 -37.78
f2ef6270-cf91-409f-a6a2-fbd6735ea500,Byron Bay,NSW,153.6 -28.63
7e8bf667-e724-4359-a406-3538a3e27b4e,Lismore,NSW,153.28 -28.81
38997041-c666-41a4-857b-9aaea10c008d,Fremantle,WA,115.76 -32.06
354f40cb-55bc-4a81-a00d-c7faede29f8b,Mordialloc,VIC,145.09 -38.01
7ec296e9-6feb-46b0-b755-115ce31678c1,Chatswood,NSW,151.18 -33.8
8a0fab50-4efb-41e2-a569-29346eb6c9de,Granville,NSW,151 -33.83
73b8eb5f-d6e6-43fb-896a-84faa162d544,Pacific Paradise,QLD,153.08 -26.61
4af25042-a1a4-4688-90b5-240d790e5332,Alexandria,NSW,151.19 -33.92
02d45834-6f65-4f52-9a33-0b242dd7a078,North Lakes,QLD,152.99 -27.21
a08935a2-99a8-49f0-b73a-f8de51ca0abd,Findon,SA,138.53 -34.9
66c00c79-11a0-4c11-af28-a31a40931a90,Doncaster,VIC,145.13 -37.78
7a368a0e-c231-4458-a4e0-43a3f6953954,Smithfield,QLD,145.7 -16.81
0898833a-fca8-40b5-a738-8e1d4aa98322,Alstonville,NSW,153.44 -28.84
55800aa3-486e-43f1-a0a3-1130709e4c0f,Leonora,WA,121.33 -28.9
30077f02-9082-4179-b287-3c927eed1be9,Greenslopes,QLD,153.05 -27.51
b7b3f792-717c-4e96-ab82-1580ec58a612,Browns Plains,QLD,153.05 -27.66
e54ebe26-344e-4084-a102-4ca6bf82b25b,West Perth,WA,115.84 -31.95
9ba904d4-5b0e-403c-b1bc-71e6a2bcdc0f,Preston,VIC,145.03 -37.74
26f1b7d4-64fb-4c25-8734-47f7409fa7c1,Bomaderry,NSW,150.6 -34.84
7ce5471b-363c-46ab-b398-ca517347829a,Sydney,NSW,151.21 -33.87
932b9301-65da-4718-aa78-679daba791fb,Doncaster,VIC,145.13 -37.78
07df1647-c4aa-479b-a7c2-1952aafbc6bb,Dandenong South,VIC,145.21 -38.03
a1ca1b7e-a737-4fc8-b070-3e606f52c0d6,Margaret River,WA,115.07 -33.95
6beb3465-4cb7-449b-b395-0eaa7764d4fe,Robinvale,VIC,142.77 -34.58
a33597e2-742c-4bde-aa32-880e687454b2,Chatswood,NSW,151.2 -33.79
1c6feb54-37a6-47b4-ae0a-a2f3005e7087,Chatswood,NSW,151.18 -33.8
54b35383-6f69-453b-be91-b63005b97135,Mossman Gorge,QLD,145.35 -16.47
1e7209b8-f5d6-4241-a328-f0aa772d0c3b,Rockbank,VIC,144.63 -37.7
e77e7118-9958-4ae0-8ecd-b705bde43c16,Sydney,NSW,151.21 -33.87
cd28c099-0971-41a5-a9cc-d44477c350df,Cobram,VIC,145.65 -35.92
b64b1423-0992-4942-b955-5785b81c1cd6,Kilsyth,VIC,145.32 -37.8
7cdb62b5-6632-4d1d-8e28-a4d26f5cbb74,Ceduna,SA,133.67 -32.11
94f323d7-ffeb-4b35-9c10-e5670d9b7bd8,Bass Hill,NSW,150.99 -33.9
47fc3b6a-6e2d-4cd1-87ce-00360cf62893,Lara,VIC,144.4 -38.02
4969262f-2161-43c1-a48d-1799844fb859,Minchinbury,NSW,150.83 -33.79
17d20b9f-f49d-4164-9e7d-a1043052faae,Melbourne,VIC,144.96 -37.81
73c0924f-dc35-4ab1-8136-2b5775cf4280,Stuart Park,NT,130.84 -12.44
1ab3e343-3775-4d54-9dac-2b0834500025,Port Macquarie,NSW,152.92 -31.43
499b1c74-d767-43d6-a084-b20d00010c70,Blacktown,NSW,150.91 -33.77
89556e0f-b593-4b89-adb4-8f279923bb24,Brookvale,NSW,151.27 -33.77
0bf7d15e-20d0-4246-8e99-59c3dd1a2dcb,Windsor,VIC,144.99 -37.86
31409513-c87e-497b-bcdb-4f91c51b5996,Hurstville,NSW,151.1 -33.97
e3136489-2e9f-4490-a7a4-9b5a8355776c,O'connor,WA,115.8 -32.07
e9d1bc97-2073-4ede-9665-ab400e8e7be6,Coconut Grove,NT,130.85 -12.4
9f0244d9-2b86-4065-85dc-6c2089ddc749,Wheelers Hill,VIC,145.16 -37.91
bedfaec0-2483-449c-9d0f-b8492469a4a2,Taree,NSW,152.46 -31.91
